hours_studied,attendance,assignment_score,previous_marks,final_result
7,51,48,82,Fail
9,69,30,97,Pass
2,73,46,63,Pass
3,94,56,55,Pass
2,66,76,51,Pass
1,94,34,33,Fail
9,50,100,79,Fail
6,99,76,62,Pass
9,87,78,86,Pass
7,51,54,68,Fail
6,64,87,57,Pass
3,69,96,100,Pass
10,40,42,67,Fail
5,50,35,38,Fail
3,46,64,86,Fail
10,73,81,31,Pass
7,74,79,63,Pass
6,41,100,47,Fail
7,43,100,57,Fail
1,61,85,65,Pass
6,61,37,83,Pass
7,58,64,47,Fail
10,53,91,59,Fail
2,51,62,61,Fail
8,84,97,70,Pass
2,96,52,79,Pass
7,95,61,41,Pass
10,45,76,91,Fail
2,65,90,53,Pass
2,51,85,44,Fail
5,59,39,87,Fail
8,57,64,76,Fail
1,81,56,78,Pass
6,74,49,71,Pass
3,63,44,34,Fail
9,91,98,85,Pass
3,79,83,98,Pass
5,92,97,66,Pass
4,92,67,41,Pass
7,44,34,61,Fail
7,100,98,30,Pass
3,87,100,61,Pass
5,83,95,70,Pass
1,47,69,38,Fail
2,78,70,78,Pass
3,51,49,33,Fail
3,99,73,89,Pass
5,88,60,50,Pass
7,74,64,41,Pass
7,72,32,67,Pass
7,66,87,97,Pass
1,41,75,96,Fail
2,81,56,44,Pass
2,84,62,54,Pass
5,76,41,57,Pass
7,97,34,96,Pass
4,98,56,88,Pass
9,90,74,34,Pass
7,51,73,34,Fail
5,52,41,95,Fail
10,96,47,66,Pass
5,90,77,36,Pass
8,84,84,43,Pass
5,58,33,60,Fail
5,66,76,63,Pass
2,74,73,40,Pass
5,73,59,96,Pass
4,69,69,81,Pass
7,84,69,84,Pass
2,43,60,59,Fail
10,77,77,33,Pass
10,55,30,60,Fail
4,90,63,62,Pass
9,51,97,56,Fail
1,62,35,73,Fail
9,66,60,97,Pass
1,89,76,34,Pass
8,40,54,80,Fail
6,41,86,32,Fail
9,84,83,66,Pass
3,85,72,70,Pass
10,88,36,50,Pass
3,57,68,87,Fail
3,41,44,77,Fail
10,82,44,90,Pass
1,53,54,45,Fail
9,100,96,66,Pass
9,88,32,65,Pass
1,46,72,54,Fail
10,81,73,98,Pass
8,42,32,84,Fail
10,71,97,56,Pass
4,50,57,91,Fail
3,40,72,84,Fail
1,94,40,99,Pass
8,57,63,60,Fail
9,40,81,34,Fail
3,50,85,39,Fail
1,93,30,34,Fail
5,100,80,56,Pass
10,46,90,95,Fail
3,59,94,31,Fail
2,98,73,72,Pass
9,76,77,33,Pass
10,64,72,76,Pass
1,98,35,42,Fail
10,91,73,97,Pass
8,81,66,67,Pass
9,78,100,89,Pass
10,67,71,65,Pass
2,40,61,49,Fail
7,62,78,32,Pass
1,54,72,64,Fail
8,75,96,46,Pass
5,87,98,61,Pass
5,43,98,83,Fail
4,43,31,93,Fail
7,71,45,44,Pass
1,70,42,30,Fail
8,85,34,99,Pass
3,74,54,32,Fail
9,90,98,32,Pass
1,86,79,99,Pass
5,98,40,47,Pass
8,59,56,30,Fail
1,79,56,87,Pass
4,74,69,100,Pass
2,48,60,70,Fail
7,60,75,74,Pass
3,74,38,63,Pass
3,49,83,36,Fail
9,45,67,46,Fail
2,94,31,39,Fail
7,73,59,93,Pass
4,100,98,45,Pass
1,62,70,48,Fail
1,71,82,75,Pass
2,75,82,57,Pass
7,81,99,91,Pass
9,92,46,47,Pass
5,50,49,50,Fail
4,66,45,98,Pass
1,66,81,51,Pass
10,86,91,51,Pass
